Product Name,Quantity,Sell Price,Date Sold,Product Category,Unnamed: 5,Unnamed: 6,Unnamed: 7
Lola Remedios,2.0,24.0,12/09/2020,HERBAL MEDICINES,,,
Cetirizine 10mg,8.0,20.0,12/09/2020,ANTIHISTAMINES,,,
Cefalexin 500mg,10.0,80.0,12/09/2020,ANTIBIOTICS,,,
Amoxicillin 500mg,3.0,15.0,12/09/2020,ANTIBIOTICS,,,
Happy cotton,2.0,13.0,12/09/2020,ALL MEDICAL SUPPLIES,,,
Neozep,2.0,14.0,12/09/2020,RESPIRATORY,,,
Kremil-S,1.0,9.5,12/09/2020,GASTRO DRUGS,,,
Diatabs 2mg,1.0,10.0,12/09/2020,GASTRO DRUGS,,,
Biogesic 500mg,12.0,60.0,12/09/2020,PAIN RELIEVERS,,,
Bioflu 10mg/2mg/500mg,10.0,100.0,12/09/2020,PAIN RELIEVERS,,,
Diatabs 2mg,4.0,40.0,12/09/2020,GASTRO DRUGS,,,
Neozep,5.0,35.0,12/09/2020,RESPIRATORY,,,
Skelan 550mg,1.0,22.0,12/09/2020,PAIN RELIEVERS,,,
Face Mask,4.0,10.0,12/09/2020,ALL MEDICAL SUPPLIES,,,
Freeda Violet Napkin,1.0,25.0,12/09/2020,HYGIENE,,,
Ascorbic Acid 500mg,2.0,10.0,12/09/2020,ADULT VITAMINS AND SUPPLEMENTS,,,
Rexona Deodorant,1.0,70.0,12/09/2020,HYGIENE,,,
Povidone Iodine 15 mL,1.0,25.0,12/09/2020,ALL MEDICAL SUPPLIES,,,
Ponstan 500mg,1.0,38.0,12/09/2020,PAIN RELIEVERS,,,
Mefenamic Acid (generic),5.0,15.0,12/09/2020,PAIN RELIEVERS,,,
Amoxicillin 500mg,2.0,10.0,12/09/2020,ANTIBIOTICS,,,
Carbocisteine 500mg,2.0,16.0,12/09/2020,RESPIRATORY,,,
Amoxicillin 500mg,10.0,50.0,12/09/2020,ANTIBIOTICS,,,
Salonpas Patch,2.0,16.0,12/09/2020,PAIN RELIEVERS,,,
Adult Diapers (small),2.0,50.0,12/09/2020,ALL MEDICAL SUPPLIES,,,
Biogesic 500mg,2.0,10.0,12/09/2020,PAIN RELIEVERS,,,
Katinko Ointment,1.0,35.0,12/09/2020,GALENICALS,,,
Saridon,2.0,14.0,12/09/2020,PAIN RELIEVERS,,,
Biogesic 500mg,2.0,10.0,12/09/2020,PAIN RELIEVERS,,,
Alaxan FR 400mg,2.0,20.0,12/09/2020,PAIN RELIEVERS,,,
Alaxan FR 400mg,3.0,30.0,12/09/2020,PAIN RELIEVERS,,,
Medicol Advance 200mg,3.0,25.5,12/09/2020,PAIN RELIEVERS,,,
Tempra Syrup 1-5 years 60mL,1.0,108.0,12/09/2020,PEDIA BOTTLES,,,
Kool Fever,2.0,70.0,12/09/2020,ALL MEDICAL SUPPLIES,,,
Flanax 550mg,1.0,26.0,12/09/2020,PAIN RELIEVERS,,,
Solmux,12.0,108.0,12/09/2020,RESPIRATORY,,,
Solmux,1.0,12.0,12/09/2020,RESPIRATORY,,,
Salonpas Patch,4.0,32.0,12/09/2020,PAIN RELIEVERS,,,
Ascorbic Acid 500mg,4.0,20.0,13/09/2020,ADULT VITAMINS AND SUPPLEMENTS,,,
Poten-cee 500mg,2.0,16.0,13/09/2020,ADULT VITAMINS AND SUPPLEMENTS,,,
Pharex Vit.B Complex,4.0,20.0,13/09/2020,ADULT VITAMINS AND SUPPLEMENTS,,,
Biogesic 500mg,10.0,50.0,13/09/2020,PAIN RELIEVERS,,,
Bioflu 10mg/2mg/500mg,10.0,100.0,13/09/2020,PAIN RELIEVERS,,,
Diatabs 2mg,1.0,10.0,13/09/2020,GASTRO DRUGS,,,
Alaxan FR 400mg,1.0,10.0,13/09/2020,PAIN RELIEVERS,,,
Diatabs 2mg,4.0,40.0,13/09/2020,GASTRO DRUGS,,,
Ascof Forte Lagundi 600mg,10.0,100.0,13/09/2020,HERBAL MEDICINES,,,
Kremil-S,2.0,19.0,13/09/2020,GASTRO DRUGS,,,
White Flower 1.5mL,1.0,30.0,13/09/2020,GALENICALS,,,
Sinudrin Drops 15mL,1.0,59.0,13/09/2020,PEDIA BOTTLES,,,
Alcohol 500mL,1.0,125.0,13/09/2020,ALL MEDICAL SUPPLIES,,,
Medical Tape (medium),1.0,55.0,13/09/2020,ALL MEDICAL SUPPLIES,,,
Nestogen 1 135g,1.0,70.0,13/09/2020,COFFEE TEAS AND MILKS,,,
Myrevit Vitamin B,4.0,20.0,13/09/2020,ADULT VITAMINS AND SUPPLEMENTS,,,
Ascorbic Acid 500mg,8.0,40.0,13/09/2020,ADULT VITAMINS AND SUPPLEMENTS,,,
Water Bottle 350mL (small),3.0,30.0,13/09/2020,DRINKS,,,
Tuseran Forte,2.0,24.0,13/09/2020,RESPIRATORY,,,
Happy cotton,2.0,14.0,13/09/2020,ALL MEDICAL SUPPLIES,,,
Petroleum Jelly (generic),1.0,25.0,13/09/2020,CREAM AND OINTMENTS,,,
Solmux,1.0,12.0,13/09/2020,RESPIRATORY,,,
Shampoo (Sachet),1.0,6.0,14/09/2020,HYGIENE,,,
Enervon,1.0,10.0,14/09/2020,ADULT VITAMINS AND SUPPLEMENTS,,,
Ascorbic Acid 500mg,2.0,10.0,14/09/2020,ADULT VITAMINS AND SUPPLEMENTS,,,
Face Mask,4.0,10.0,14/09/2020,ALL MEDICAL SUPPLIES,,,
Cotrimoxazole 480mg,2.0,10.0,14/09/2020,ANTIBIOTICS,,,
Tissue Roll,1.0,15.0,14/09/2020,HYGIENE,,,
Povidone Iodine 15 mL,1.0,15.0,14/09/2020,ALL MEDICAL SUPPLIES,,,
Nestogen 1 135g,1.0,70.0,14/09/2020,COFFEE TEAS AND MILKS,,,
Water Bottle 1L (large),1.0,25.0,14/09/2020,DRINKS,,,
Petroleum Jelly (generic),1.0,25.0,14/09/2020,CREAM AND OINTMENTS,,,
Nutri Boost,2.0,32.0,14/09/2020,DRINKS,,,
Pharex Vit.B Complex,2.0,10.0,14/09/2020,ADULT VITAMINS AND SUPPLEMENTS,,,
Mefenamic Acid (generic),2.0,60.0,14/09/2020,PAIN RELIEVERS,,,
Cloud 9,1.0,10.0,14/09/2020,FOODS,,,
Ponstan 500mg,1.0,38.0,14/09/2020,PAIN RELIEVERS,,,
Crown Bond Super Glue 3g,1.0,5.0,15/09/2020,OTHERS,,,
Cetirizine 10mg,10.0,25.0,15/09/2020,ANTIHISTAMINES,,,
Saridon,1.0,7.0,15/09/2020,PAIN RELIEVERS,,,
Cetirizine 10mg,1.0,2.5,15/09/2020,ANTIHISTAMINES,,,
Poten-cee 500mg,10.0,80.0,15/09/2020,ADULT VITAMINS AND SUPPLEMENTS,,,
Alcohol 500mL,1.0,95.0,15/09/2020,ALL MEDICAL SUPPLIES,,,
Face Mask,2.0,5.0,15/09/2020,ALL MEDICAL SUPPLIES,,,
Chromic 3.0 Cutting,2.0,840.0,15/09/2020,ALL MEDICAL SUPPLIES,,,
Biogesic 500mg,4.0,20.0,15/09/2020,PAIN RELIEVERS,,,
Neozep,2.0,14.0,15/09/2020,RESPIRATORY,,,
Alaxan FR 400mg,1.0,10.0,15/09/2020,PAIN RELIEVERS,,,
Tawas,1.0,12.0,15/09/2020,HYGIENE,,,
Solmux,2.0,24.0,15/09/2020,RESPIRATORY,,,
Diatabs 2mg,2.0,20.0,15/09/2020,GASTRO DRUGS,,,
Neozep,14.0,98.0,15/09/2020,RESPIRATORY,,,
Diatabs 2mg,2.0,20.0,15/09/2020,GASTRO DRUGS,,,
Baby Feeding Bottle (small),3.0,150.0,15/09/2020,BABY PRODUCTS,,,
Nipple (small),2.0,20.0,15/09/2020,BABY PRODUCTS,,,
Salonpas Patch,4.0,32.0,15/09/2020,PAIN RELIEVERS,,,
Mefenamic Acid (generic),4.0,12.0,15/09/2020,PAIN RELIEVERS,,,
Mefenamic Acid Ritemed 500mg,2.0,14.0,15/09/2020,PAIN RELIEVERS,,,
Biogesic 500mg,4.0,20.0,15/09/2020,PAIN RELIEVERS,,,
Tuseran Forte,2.0,24.0,15/09/2020,RESPIRATORY,,,
Lola Remedios,2.0,24.0,15/09/2020,HERBAL MEDICINES,,,
Hivent Salbutamol Ampoule 2.5mL,2.0,30.0,15/09/2020,RESPIRATORY,,,
Diatabs 2mg,1.0,10.0,15/09/2020,GASTRO DRUGS,,,
Amoxicillin 500mg,3.0,15.0,16/09/2020,ANTIBIOTICS,,,
Pregnancy Test,1.0,35.0,16/09/2020,ALL MEDICAL SUPPLIES,,,
Adult Diapers (small),1.0,25.0,16/09/2020,ALL MEDICAL SUPPLIES,,,
Mefenamic Acid Ritemed 500mg,2.0,14.0,16/09/2020,PAIN RELIEVERS,,,
Amoxicillin 500mg,3.0,15.0,16/09/2020,ANTIBIOTICS,,,
Skyflakes,1.0,6.0,16/09/2020,FOODS,,,
Solmux,8.0,96.0,16/09/2020,RESPIRATORY,,,
Vicks VapoRub (small),1.0,32.0,16/09/2020,GALENICALS,,,
Alaxan FR 400mg,1.0,10.0,16/09/2020,PAIN RELIEVERS,,,
Efficascent Oil 50 mL,1.0,60.0,16/09/2020,GALENICALS,,,
BL Cream,1.0,35.0,16/09/2020,CREAM AND OINTMENTS,,,
Solmux,2.0,24.0,16/09/2020,RESPIRATORY,,,
Bioderm Freshen Soap,1.0,36.0,16/09/2020,HYGIENE,,,
Bioderm Pristine Soap,1.0,18.0,16/09/2020,HYGIENE,,,
Hivent Salbutamol Ampoule 2.5mL,2.0,30.0,17/09/2020,RESPIRATORY,,,
Biogesic 500mg,2.0,10.0,17/09/2020,PAIN RELIEVERS,,,
Cetirizine 10mg,4.0,10.0,17/09/2020,ANTIHISTAMINES,,,
Buscopan 10mg,1.0,30.0,17/09/2020,GASTRO DRUGS,,,
Candy,1.0,16.0,17/09/2020,FOODS,,,
Tiki-tiki Star Syrup 60mL,1.0,73.0,17/09/2020,PEDIA BOTTLES,,,
Tempra Syrup 1-5 years 60mL,1.0,108.0,17/09/2020,PEDIA BOTTLES,,,
Biogesic 500mg,3.0,15.0,17/09/2020,PAIN RELIEVERS,,,
Ambroxol 30mg,1.0,53.0,17/09/2020,RESPIRATORY,,,
BL Cream,1.0,35.0,17/09/2020,CREAM AND OINTMENTS,,,
Shampoo (Sachet),1.0,6.0,17/09/2020,HYGIENE,,,
Losartan 50mg,2.0,8.0,17/09/2020,ALL HYPERTENSION,,,
Advil 200mg,2.0,24.0,17/09/2020,PAIN RELIEVERS,,,
Pacifier,1.0,20.0,17/09/2020,BABY PRODUCTS,,,
Biogesic 500mg,8.0,40.0,17/09/2020,PAIN RELIEVERS,,,
Ascorbic Acid 500mg,4.0,20.0,17/09/2020,ADULT VITAMINS AND SUPPLEMENTS,,,
Decolgen Forte 25mg/2mg/500mg,1.0,7.0,17/09/2020,PAIN RELIEVERS,,,
Cetirizine 10mg,1.0,2.5,17/09/2020,ANTIHISTAMINES,,,
Kremil-S,1.0,9.5,17/09/2020,GASTRO DRUGS,,,
Ambroxol Syrup 60mL,1.0,53.0,17/09/2020,RESPIRATORY,,,
Mefenamic Acid (generic),4.0,12.0,17/09/2020,PAIN RELIEVERS,,,
Amoxicillin 500mg,4.0,20.0,17/09/2020,ANTIBIOTICS,,,
Amoxicillin 500mg,3.0,15.0,17/09/2020,ANTIBIOTICS,,,
Mefenamic Acid Ritemed 500mg,5.0,35.0,17/09/2020,PAIN RELIEVERS,,,
Johnson's Baby Bath Active Fresh 100mL,1.0,120.0,17/09/2020,BABY PRODUCTS,,,
Baby Feeding Bottle (large),1.0,55.0,17/09/2020,BABY PRODUCTS,,,
Diclofenac Sodium 100mg,2.0,10.0,17/09/2020,PAIN RELIEVERS,,,
Mefenamic Acid (generic),6.0,18.0,17/09/2020,PAIN RELIEVERS,,,
Nipple (small),2.0,20.0,17/09/2020,BABY PRODUCTS,,,
Hivent Salbutamol Ampoule 2.5mL,2.0,30.0,17/09/2020,RESPIRATORY,,,
Nature's Spring Purified Drinking Water 10L,1.0,95.0,18/09/2020,DRINKS,,,
Bonakid 1+ 150g,1.0,120.0,18/09/2020,MILK SUPPLEMENTS,,,
Ascorbic Acid 500mg,14.0,70.0,18/09/2020,ADULT VITAMINS AND SUPPLEMENTS,,,
Lagundi Tablet,15.0,90.0,18/09/2020,HERBAL MEDICINES,,,
Nestogen 1 135g,1.0,70.0,18/09/2020,COFFEE TEAS AND MILKS,,,
Biogesic 500mg,4.0,20.0,18/09/2020,PAIN RELIEVERS,,,
Neozep,3.0,21.0,18/09/2020,RESPIRATORY,,,
Amlodipine 5mg,8.0,40.0,18/09/2020,ALL HYPERTENSION,,,
Erythromycin 500mg,2.0,15.0,18/09/2020,ANTIBIOTICS,,,
Enervon,1.0,10.0,18/09/2020,ADULT VITAMINS AND SUPPLEMENTS,,,
Saridon,2.0,14.0,18/09/2020,PAIN RELIEVERS,,,
Mefenamic Acid Syrup 60mL,1.0,4.0,18/09/2020,PAIN RELIEVERS,,,
Shampoo (Sachet),1.0,6.0,18/09/2020,HYGIENE,,,
Cotrimoxazole 480mg,5.0,25.0,18/09/2020,ANTIBIOTICS,,,
Omega 30 mL,1.0,45.0,18/09/2020,GALENICALS,,,
Amoxicillin 500mg,2.0,10.0,18/09/2020,ANTIBIOTICS,,,
Alcohol 60mL,1.0,22.0,18/09/2020,ALL MEDICAL SUPPLIES,,,
Ascof Forte Lagundi 600mg,3.0,30.0,18/09/2020,HERBAL MEDICINES,,,
Water Bottle 350mL (small),1.0,10.0,18/09/2020,DRINKS,,,
Poten-cee 500mg,6.0,48.0,18/09/2020,ADULT VITAMINS AND SUPPLEMENTS,,,
Biogesic 500mg,2.0,10.0,18/09/2020,PAIN RELIEVERS,,,
AA Battery,1.0,7.0,18/09/2020,OTHERS,,,
Salonpas Patch,2.0,16.0,18/09/2020,PAIN RELIEVERS,,,
Flanax 550mg,1.0,26.0,18/09/2020,PAIN RELIEVERS,,,
Poten-cee 500mg,2.0,16.0,19/09/2020,ADULT VITAMINS AND SUPPLEMENTS,,,
Ascorbic Acid 500mg,10.0,50.0,19/09/2020,ADULT VITAMINS AND SUPPLEMENTS,,,
Advil 200mg,5.0,60.0,19/09/2020,PAIN RELIEVERS,,,
Flugard 500mg,20.0,100.0,19/09/2020,PAIN RELIEVERS,,,
Mefenamic Acid (generic),15.0,45.0,19/09/2020,PAIN RELIEVERS,,,
Losartan 50mg,10.0,40.0,19/09/2020,ALL HYPERTENSION,,,
Efficascent Oil 25 mL,1.0,40.0,19/09/2020,GALENICALS,,,
Face Mask,1.0,10.0,19/09/2020,ALL MEDICAL SUPPLIES,,,
Efficascent Oil 25 mL,1.0,40.0,19/09/2020,GALENICALS,,,
Water Bottle 350mL (small),1.0,10.0,19/09/2020,DRINKS,,,
Efficascent Oil Xtreme 25 mL,1.0,50.0,19/09/2020,GALENICALS,,,
Amoxicillin 500mg,12.0,60.0,19/09/2020,ANTIBIOTICS,,,
Cloxacillin 500mg,2.0,20.0,19/09/2020,ANTIBIOTICS,,,
Bioflu 10mg/2mg/500mg,2.0,20.0,19/09/2020,PAIN RELIEVERS,,,
Kremil-S,4.0,38.0,19/09/2020,GASTRO DRUGS,,,
Ascof Forte Lagundi 600mg,1.0,10.0,19/09/2020,HERBAL MEDICINES,,,
BL Cream,1.0,35.0,19/09/2020,CREAM AND OINTMENTS,,,
Omeprazole 20mg,6.0,30.0,19/09/2020,GASTRO DRUGS,,,
Mefenamic Acid (generic),10.0,30.0,19/09/2020,PAIN RELIEVERS,,,
Bioflu 10mg/2mg/500mg,4.0,40.0,19/09/2020,PAIN RELIEVERS,,,
Alaxan FR 400mg,4.0,40.0,19/09/2020,PAIN RELIEVERS,,,
Cetirizine 10mg,1.0,55.0,19/09/2020,ANTIHISTAMINES,,,
Neozep,6.0,42.0,19/09/2020,RESPIRATORY,,,
Hivent Salbutamol Ampoule 2.5mL,2.0,30.0,19/09/2020,RESPIRATORY,,,
Water Bottle 350mL (small),1.0,10.0,19/09/2020,DRINKS,,,
Vicks VapoRub (small),1.0,32.0,19/09/2020,GALENICALS,,,
Salonpas Patch,4.0,32.0,19/09/2020,PAIN RELIEVERS,,,
Ascorbic Acid 500mg,10.0,50.0,20/09/2020,ADULT VITAMINS AND SUPPLEMENTS,,,
Kool Fever,2.0,70.0,20/09/2020,ALL MEDICAL SUPPLIES,,,
Cetirizine 10mg,10.0,25.0,20/09/2020,ANTIHISTAMINES,,,
Ascof Forte Lagundi 600mg,2.0,20.0,20/09/2020,HERBAL MEDICINES,,,
Tempra Syrup 1-5 years 60mL,1.0,108.0,20/09/2020,PEDIA BOTTLES,,,
Neozep,6.0,42.0,20/09/2020,RESPIRATORY,,,
Bioflu 10mg/2mg/500mg,6.0,60.0,20/09/2020,PAIN RELIEVERS,,,
Biogesic 500mg,6.0,30.0,20/09/2020,PAIN RELIEVERS,,,
Salonpas Pack,1.0,80.0,20/09/2020,PAIN RELIEVERS,,,
Katinko Ointment,1.0,35.0,20/09/2020,GALENICALS,,,
Wilkins Distilled Drinking Water 10L,1.0,95.0,20/09/2020,DRINKS,,,
Oral Rehydration Salts,1.0,7.0,20/09/2020,GASTRO DRUGS,,,
Flanax 550mg,3.0,78.0,20/09/2020,PAIN RELIEVERS,,,
Pharex Vit.B Complex,10.0,50.0,20/09/2020,ADULT VITAMINS AND SUPPLEMENTS,,,
Saridon,4.0,28.0,20/09/2020,PAIN RELIEVERS,,,
Sodium Ascorbate,10.0,60.0,20/09/2020,ADULT VITAMINS AND SUPPLEMENTS,,,
Flanax 550mg,2.0,52.0,20/09/2020,PAIN RELIEVERS,,,
Lomotil 2mg,2.0,36.0,20/09/2020,GASTRO DRUGS,,,
Face Shield,2.0,80.0,20/09/2020,ALL MEDICAL SUPPLIES,,,
Aceite De Manzanilla 15mL,1.0,12.0,20/09/2020,GALENICALS,,,
Aceite De Alcamforado 50mL,1.0,30.0,20/09/2020,GALENICALS,,,
Johnson's Baby Oil 25mL,1.0,25.0,20/09/2020,BABY PRODUCTS,,,
Tissue Roll,1.0,15.0,20/09/2020,HYGIENE,,,
Hivent Salbutamol Ampoule 2.5mL,1.0,15.0,20/09/2020,RESPIRATORY,,,
Mefenamic Acid (generic),2.0,6.0,20/09/2020,PAIN RELIEVERS,,,
Kremil-S,3.0,29.0,20/09/2020,GASTRO DRUGS,,,
Efficascent Oil 25 mL,1.0,40.0,20/09/2020,GALENICALS,,,
Pacifier,2.0,40.0,20/09/2020,BABY PRODUCTS,,,
Biogesic 500mg,4.0,20.0,21/09/2020,PAIN RELIEVERS,,,
Buscopan 10mg,2.0,60.0,21/09/2020,GASTRO DRUGS,,,
Kojie San Skin Lightening Soap 65g,1.0,25.0,21/09/2020,HYGIENE,,,
Enervon,1.0,10.0,21/09/2020,ADULT VITAMINS AND SUPPLEMENTS,,,
Metoprolol 50mg/100mg,2.0,12.0,21/09/2020,ALL HYPERTENSION,,,
Losartan 50mg,2.0,8.0,21/09/2020,ALL HYPERTENSION,,,
Ascorbic Acid 500mg,2.0,10.0,21/09/2020,ADULT VITAMINS AND SUPPLEMENTS,,,
Flanax 550mg,2.0,52.0,21/09/2020,PAIN RELIEVERS,,,
Cloxacillin 500mg,2.0,20.0,21/09/2020,ANTIBIOTICS,,,
Cloxacillin 500mg,2.0,20.0,21/09/2020,ANTIBIOTICS,,,
Mefenamic Acid (generic),2.0,6.0,21/09/2020,PAIN RELIEVERS,,,
Alcohol 500mL,1.0,105.0,21/09/2020,ALL MEDICAL SUPPLIES,,,
Mupirocin 20mg,1.0,130.0,21/09/2020,CREAM AND OINTMENTS,,,
Biogesic 500mg,1.0,5.0,21/09/2020,PAIN RELIEVERS,,,
Kremil-S,2.0,19.0,21/09/2020,GASTRO DRUGS,,,
Cloxacillin 500mg,2.0,20.0,21/09/2020,ANTIBIOTICS,,,
Hivent Salbutamol Ampoule 2.5mL,1.0,15.0,21/09/2020,RESPIRATORY,,,
Biogesic 500mg,4.0,20.0,21/09/2020,PAIN RELIEVERS,,,
Cefalexin 500mg,3.0,24.0,21/09/2020,ANTIBIOTICS,,,
Mefenamic Acid (generic),10.0,30.0,21/09/2020,PAIN RELIEVERS,,,
Cetirizine 10mg,2.0,5.0,21/09/2020,ANTIHISTAMINES,,,
Cotrimoxazole Syrup 200mg/40mg/5mL,1.0,150.0,21/09/2020,ANTIBIOTICS,,,
Biogesic 500mg,4.0,20.0,21/09/2020,PAIN RELIEVERS,,,
Neozep,5.0,35.0,21/09/2020,RESPIRATORY,,,
Bioflu 10mg/2mg/500mg,5.0,50.0,21/09/2020,PAIN RELIEVERS,,,
Biogesic Syrup 2-6 years 60mL,1.0,110.0,21/09/2020,PAIN RELIEVERS,,,
Trust Pills 75mg,1.0,55.0,21/09/2020,CONTRACEPTIVES,,,
Lola Remedios,1.0,12.0,21/09/2020,HERBAL MEDICINES,,,
Povidone Iodine 30 mL,1.0,25.0,21/09/2020,ALL MEDICAL SUPPLIES,,,
Nipple (small),2.0,20.0,21/09/2020,BABY PRODUCTS,,,
Johnson's Baby Oil 25mL,1.0,25.0,21/09/2020,BABY PRODUCTS,,,
Baby Wipes,1.0,25.0,21/09/2020,BABY PRODUCTS,,,
Pond's Cream Sachet,1.0,25.0,21/09/2020,COSMETICS,,,
Omega 15 mL,1.0,30.0,22/09/2020,GALENICALS,,,
Tissue Roll,5.0,75.0,22/09/2020,HYGIENE,,,
Metronidazole 500mg,2.0,10.0,22/09/2020,ANTIBIOTICS,,,
Tuseran Forte,1.0,12.0,22/09/2020,RESPIRATORY,,,
Biogesic 500mg,1.0,5.0,22/09/2020,PAIN RELIEVERS,,,
Biogesic 500mg,4.0,20.0,22/09/2020,PAIN RELIEVERS,,,
Celecoxib 200mg,2.0,14.0,22/09/2020,PAIN RELIEVERS,,,
Neozep,20.0,140.0,22/09/2020,RESPIRATORY,,,
Cetirizine 10mg,2.0,5.0,22/09/2020,ANTIHISTAMINES,,,
Flanax 550mg,2.0,52.0,22/09/2020,PAIN RELIEVERS,,,
Katinko Ointment,1.0,35.0,22/09/2020,GALENICALS,,,
Pregnancy Test,1.0,35.0,22/09/2020,ALL MEDICAL SUPPLIES,,,
Ascorbic Acid + Zinc 500mg/10mg,4.0,20.0,22/09/2020,ADULT VITAMINS AND SUPPLEMENTS,,,
Nipple (small),1.0,10.0,22/09/2020,BABY PRODUCTS,,,
Mefenamic Acid (generic),2.0,6.0,22/09/2020,PAIN RELIEVERS,,,
Amoxicillin 500mg,2.0,10.0,22/09/2020,ANTIBIOTICS,,,
Hivent Salbutamol Ampoule 2.5mL,2.0,30.0,22/09/2020,RESPIRATORY,,,
Happy Cotton,1.0,7.0,22/09/2020,,,,
Shampoo (Sachet),1.0,6.0,22/09/2020,HYGIENE,,,
Ballpen,1.0,6.0,22/09/2020,OTHERS,,,
Cloxacillin 500mg,2.0,20.0,22/09/2020,ANTIBIOTICS,,,
Gauze (large),2.0,12.0,22/09/2020,ALL MEDICAL SUPPLIES,,,
Mefenamic Acid (generic),7.0,21.0,22/09/2020,PAIN RELIEVERS,,,
Gauze (large),1.0,6.0,22/09/2020,ALL MEDICAL SUPPLIES,,,
Medical Tape (small),1.0,30.0,22/09/2020,ALL MEDICAL SUPPLIES,,,
Nipple (small),4.0,40.0,23/09/2020,BABY PRODUCTS,,,
Mefenamic Acid Ritemed 500mg,3.0,21.0,23/09/2020,PAIN RELIEVERS,,,
Losartan 50mg,4.0,16.0,23/09/2020,ALL HYPERTENSION,,,
Bioflu 10mg/2mg/500mg,2.0,20.0,23/09/2020,PAIN RELIEVERS,,,
Tempra Syrup 1-5 years 60mL,1.0,108.0,23/09/2020,PEDIA BOTTLES,,,
Enervon,1.0,10.0,23/09/2020,ADULT VITAMINS AND SUPPLEMENTS,,,
Ascof Forte Lagundi 600mg,10.0,100.0,23/09/2020,HERBAL MEDICINES,,,
Ascorbic Acid 500mg,10.0,50.0,23/09/2020,ADULT VITAMINS AND SUPPLEMENTS,,,
Cloxacillin 500mg,4.0,40.0,23/09/2020,ANTIBIOTICS,,,
Efficascent Oil Xtreme 50 mL,1.0,90.0,23/09/2020,GALENICALS,,,
Cetirizine 10mg,16.0,40.0,23/09/2020,ANTIHISTAMINES,,,
Biogesic 500mg,4.0,20.0,23/09/2020,PAIN RELIEVERS,,,
Alcohol 500mL,1.0,105.0,23/09/2020,ALL MEDICAL SUPPLIES,,,
Vicks VapoRub (small),1.0,32.0,23/09/2020,GALENICALS,,,
Cloxacillin 500mg,2.0,20.0,23/09/2020,ANTIBIOTICS,,,
Happy Cotton,1.0,7.0,23/09/2020,,,,
Neozep,5.0,35.0,23/09/2020,RESPIRATORY,,,
Biogesic 500mg,3.0,15.0,23/09/2020,PAIN RELIEVERS,,,
Tempra Forte Syrup 6-12 years 60mL,1.0,159.0,24/09/2020,PEDIA BOTTLES,,,
Amlodipine 5mg,10.0,50.0,24/09/2020,ALL HYPERTENSION,,,
Wilkins Distilled Drinking Water 10L,1.0,95.0,24/09/2020,DRINKS,,,
Povidone Iodine 15 mL,1.0,25.0,24/09/2020,ALL MEDICAL SUPPLIES,,,
Alaxan FR 400mg,1.0,10.0,24/09/2020,PAIN RELIEVERS,,,
Water Bottle 350mL (small),1.0,10.0,24/09/2020,DRINKS,,,
Alcohol 250mL,1.0,65.0,24/09/2020,ALL MEDICAL SUPPLIES,,,
Cefalexin 500mg,6.0,48.0,24/09/2020,ANTIBIOTICS,,,
Toothpaste Sachet,1.0,6.0,24/09/2020,HYGIENE,,,
Kremil-S,2.0,19.0,24/09/2020,GASTRO DRUGS,,,
Mefenamic Acid (generic),2.0,6.0,24/09/2020,PAIN RELIEVERS,,,
Solmux,2.0,24.0,24/09/2020,RESPIRATORY,,,
Alaxan FR 400mg,1.0,10.0,24/09/2020,PAIN RELIEVERS,,,
Amlodipine 5mg,2.0,10.0,24/09/2020,ALL HYPERTENSION,,,
Johnson's Baby Oil 25mL,1.0,25.0,24/09/2020,BABY PRODUCTS,,,
Medicol Advance 200mg,2.0,17.0,24/09/2020,PAIN RELIEVERS,,,
Decolgen Forte 25mg/2mg/500mg,4.0,28.0,24/09/2020,PAIN RELIEVERS,,,
Water Bottle 350mL (small),1.0,10.0,24/09/2020,DRINKS,,,
Alaxan FR 400mg,1.0,10.0,24/09/2020,PAIN RELIEVERS,,,
Celecoxib 200mg,1.0,7.0,24/09/2020,PAIN RELIEVERS,,,
Salonpas Pack,1.0,80.0,24/09/2020,PAIN RELIEVERS,,,
Efficascent Oil 25 mL,1.0,40.0,24/09/2020,GALENICALS,,,
Hivent Salbutamol Ampoule 2.5mL,1.0,15.0,24/09/2020,RESPIRATORY,,,
Dolfenal 500mg,1.0,26.0,24/09/2020,PAIN RELIEVERS,,,
Cetirizine Drops 10mL,1.0,53.0,24/09/2020,ANTIHISTAMINES,,,
Amoxicillin 500mg,2.0,10.0,24/09/2020,ANTIBIOTICS,,,
Nipple (small),1.0,10.0,24/09/2020,BABY PRODUCTS,,,
Amoxicillin 500mg,4.0,20.0,24/09/2020,ANTIBIOTICS,,,
Alaxan FR 400mg,1.0,10.0,24/09/2020,PAIN RELIEVERS,,,
Cloxacillin 500mg,2.0,20.0,24/09/2020,ANTIBIOTICS,,,
Multigo Multivitamins + Iron,4.0,24.0,24/09/2020,ADULT VITAMINS AND SUPPLEMENTS,,,
Flanax 550mg,2.0,52.0,24/09/2020,PAIN RELIEVERS,,,
Band Aid,2.0,2.0,24/09/2020,ALL MEDICAL SUPPLIES,,,
Biogesic 500mg,2.0,10.0,25/09/2020,PAIN RELIEVERS,,,
Saridon,4.0,28.0,25/09/2020,PAIN RELIEVERS,,,
Cloxacillin 500mg,1.0,10.0,25/09/2020,ANTIBIOTICS,,,
Losartan 50mg,2.0,8.0,25/09/2020,ALL HYPERTENSION,,,
